이름,주소,별점,리뷰,홈페이지,위도,경도,주소2
바이제주,제주특별자치도 제주시 서해안로 626  ,5.0,매장도 깨끗하고 상품도 다양하네요. 열쇠고리나 일반 책갈피도 기본 만원 이상이라서 가격적으로는 부담이 되지만 재방문 의사 있어요. 간단하게 지인이랑 커플로 몇가지 기념품 샀는데 20만원이 나오더라구요. 충동구매 조심하세요.ㅋㅋ,blog.naver.com/byjeju365,33.5165428769717,126.504110857612,용담삼동
바이제주,제주특별자치도 제주시 서해안로 626  ,1.0,핸드메이드 제품은 많음근데 과자 여기서 사지말고 시장가서 사시길저도 알고싶지않았음^^,blog.naver.com/byjeju365,33.5165428769717,126.504110857612,용담삼동
바이제주,제주특별자치도 제주시 서해안로 626  ,4.0,재밌고 흥미로운 아이템  많던곳,blog.naver.com/byjeju365,33.5165428769717,126.504110857612,용담삼동
바이제주,제주특별자치도 제주시 서해안로 626  ,5.0,,blog.naver.com/byjeju365,33.5165428769717,126.504110857612,용담삼동
바이제주,제주특별자치도 제주시 서해안로 626  ,4.0,종류가 많음.,blog.naver.com/byjeju365,33.5165428769717,126.504110857612,용담삼동
바이제주,제주특별자치도 제주시 서해안로 626  ,5.0,,blog.naver.com/byjeju365,33.5165428769717,126.504110857612,용담삼동
바이제주,제주특별자치도 제주시 서해안로 626  ,4.0,해안가도로를 따라 용두암으로 향하던 도중에 접했는데...아기자기한 소품들과 더불어서 주전부리들도 택배로 보낼수가 있더라구요.마침 추석을 일주일 앞두고 있던 시기라 택배 막차를 타고 아슬아슬하게 택배가 저보다 먼저 집에 도착했더라고요... ㅋ,blog.naver.com/byjeju365,33.5165428769717,126.504110857612,용담삼동
바이제주,제주특별자치도 제주시 서해안로 626  ,4.0,제주소품 선물가게로는 규모가 상당히 큰편입니다.이것저것 없는게 없는..2층에는 바다보면서 쉴수 있는 편안한 소파까지..해안도로도 바로 앞이고 바로옆에 스벅도 있고..주차장도 뒷편에 상당히 넚어서 주차도 아주 편합니다..선물 구입하기에는 정말 좋은곳..,blog.naver.com/byjeju365,33.5165428769717,126.504110857612,용담삼동
바이제주,제주특별자치도 제주시 서해안로 626  ,5.0,야간에 방문했는데 정말 소품 볼 것 많음. 아기자기하고 귀여운 것들이 많음. 자그마하게 선물해가기 좋음 아이템들이 많음. 인테리어도 잘 꾸며놓았음. 잘못하면 정말 충동구매해서 돈 많이 쓸 것 같은 느낌을 받았음. 제주여행에서 방문한 소품 기프트샵 중에 제일 재밌었고 눈호강 했던 곳.  밤에 카페들른 후 시간있거나 공항 근처니 비행기 타기전 시간 때울겸 가기 좋은 곳 같음. 건물 뒷편에 넓은 주차장 있으니 참고하시길 바람.,blog.naver.com/byjeju365,33.5165428769717,126.504110857612,용담삼동
바이제주,제주특별자치도 제주시 서해안로 626  ,5.0,"다양한 작가들의 여행기념품들이 모여있어서 좋았고,제주도만의 먹거리 기념품들도 종류별로 다있어서 여기저기 안가고바이제주에서 쇼핑하기 편했어요건물 뒤쪽 주차자리도 커서 주차도 편해요",blog.naver.com/byjeju365,33.5165428769717,126.504110857612,용담삼동
바이제주,제주특별자치도 제주시 서해안로 626  ,5.0,바다뷰 제주 기념품 맛집입니다상품종류가 엄청 다양해서 다른곳 갈 필요없이 여기서 선물 다 구입했어요5분마다 머리위로 지나가는 비행기까지~  사진찍기도 너무 좋아요,blog.naver.com/byjeju365,33.5165428769717,126.504110857612,용담삼동
바이제주,제주특별자치도 제주시 서해안로 626  ,4.0,친절하고 깨끗한 기념품점.,blog.naver.com/byjeju365,33.5165428769717,126.504110857612,용담삼동
바이제주,제주특별자치도 제주시 서해안로 626  ,5.0,고래 너무 귀여워요,blog.naver.com/byjeju365,33.5165428769717,126.504110857612,용담삼동
